userId,movieId,rating,timestamp
877,4155,5,1651201566
305,7661,2,1639553712
381,8423,2,1610704432
208,6433,1,1650223767
47,7752,4,1663998365
112,5975,5,1616906253
730,7924,5,1610796446
103,7450,4,1658231615
934,2562,2,1628488501
900,3898,3,1616103349
816,890,4,1672411755
329,7277,2,1655498230
611,6643,2,1620632999
727,5151,4,1629989024
458,2779,4,1613705815
174,7047,2,1625682816
944,6721,3,1617874887
835,5780,4,1661584599
249,6741,4,1653977386
505,1703,5,1638553811
959,8606,1,1617225523
260,6524,1,1664573368
10,8136,4,1610703193
837,7730,2,1610680752
486,8868,2,1622755427
358,2599,1,1658028861
598,6655,1,1640260775
516,4997,4,1618905124
111,2966,1,1649805118
70,6532,1,1668510898
811,5841,4,1629701796
121,4750,5,1659759147
411,2900,4,1645841328
450,4530,5,1626111260
40,5561,3,1637624940
160,8188,4,1631122445
351,8080,4,1646063741
345,3768,4,1631996442
251,5260,5,1670515761
375,7465,2,1655715028
17,8145,1,1631154829
538,8095,3,1621215994
74,6182,5,1660888780
753,3125,4,1614020352
185,1432,1,1621790475
547,9319,3,1639025677
534,5974,5,1620625549
621,2726,2,1632916680
270,361,3,1638056969
866,7912,1,1618772146
911,285,3,1668508694
839,5980,1,1625916264
865,8918,3,1618889278
296,4907,3,1619188898
988,1242,3,1622963167
890,3436,5,1615818734
546,5712,4,1637680655
45,8041,1,1626098995
927,9007,3,1665091916
748,5686,4,1652240457
834,1211,5,1652818841
131,7083,5,1634858185
376,5386,2,1621111435
616,3884,4,1630316740
186,5699,2,1616609204
688,4770,4,1632942924
239,1395,2,1635713805
354,8875,1,1618519034
953,8496,2,1621808532
7,8733,2,1619328243
511,4507,5,1659992009
359,7015,1,1658913668
7,1399,4,1670699706
810,9508,5,1610568453
541,9344,4,1648917875
842,5195,4,1626770063
264,7842,5,1625788445
118,5520,3,1614931271
312,1363,4,1664415132
499,2877,3,1668085222
349,246,3,1667334381
66,8658,3,1638450637
243,2041,1,1612327948
665,1742,4,1656402642
471,8301,5,1635964092
526,4,5,1667660482
894,2784,4,1629761898
231,9491,2,1631010628
616,1550,2,1649010237
762,1348,4,1645686256
138,7856,5,1636139261
185,1831,5,1670593606
589,7523,5,1653066373
153,6002,5,1620118492
22,798,1,1627978265
778,1639,1,1654681654
15,3699,3,1652479612
205,3274,3,1643872201
293,7884,3,1612194648
578,9710,4,1662032979
537,3533,1,1626411630
302,5820,3,1632954398
77,4245,1,1621784614
794,8921,5,1618749129
622,8849,5,1638554629
354,5807,4,1664293746
103,3182,1,1654926583
989,4173,2,1655003341
388,7158,4,1636648178
285,7777,5,1618840514
775,4288,2,1663029854
567,2352,5,1643324390
601,5303,3,1631234003
608,7817,4,1630452390
278,397,2,1633965543
726,874,1,1649360403
593,6324,2,1636269246
409,4657,1,1652536194
664,5811,2,1625036121
793,6147,2,1645272051
452,8722,2,1655852233
138,2056,1,1656889366
285,1175,3,1617331770
977,350,3,1649225753
777,1956,5,1636229550
533,8448,2,1657426456
319,9067,2,1642416725
178,3667,1,1626521239
511,4339,1,1637064170
473,4971,3,1670383255
804,2232,4,1664258854
239,3101,1,1646897884
529,2104,2,1632793375
489,5097,1,1612235766
285,1133,5,1669337401
88,6838,3,1669054765
179,2227,5,1654467723
271,9553,3,1672435746
357,9181,3,1612994434
606,7911,5,1621222638
136,761,1,1622758692
299,8653,3,1616440872
955,5227,4,1636552916
129,7010,5,1619903423
248,5269,1,1642414733
663,1339,4,1641532329
660,7338,4,1625928364
187,1572,4,1661814528
14,6379,1,1640742372
636,8894,1,1621092149
